carrera,primer_parcial,firma_previa,cantidad_materias_actual,cantidad_materias_anterior,materias_aprobadas_anterior,tasa_aprobacion_anterior,exonera
Ing. Electromecánica,0,50,5,4,2,0.5,0
Ing. Electromecánica,0,34,6,8,3,0.375,0
Ing. Electromecánica,0,34,6,8,3,0.375,0
Ing. Geográfica,0,35,7,5,3,0.6,0
Ing. Geográfica,0,35,7,5,3,0.6,0
Ing. Mecatrónica,28,50,7,6,2,0.3333333333333333,0
Ing. Mecatrónica,28,50,7,6,2,0.3333333333333333,0
Ing. Civil,93,44,6,7,6,0.8571428571428571,1
Ing. Civil,93,44,6,7,6,0.8571428571428571,1
Ing. Industrial,33,40,6,6,3,0.5,0
Ing. Industrial,33,40,6,6,3,0.5,0
Ing. Industrial,47,35,6,3,2,0.6666666666666666,0
Ing. Industrial,47,35,6,3,2,0.6666666666666666,0
Ing. Mecatrónica,44,46,7,6,4,0.6666666666666666,0
Ing. Mecatrónica,44,46,7,6,4,0.6666666666666666,0
Ing. Electromecánica,42,36,5,5,1,0.2,0
Ing. Electromecánica,42,36,5,5,1,0.2,0
Ing. Electromecánica,0,30,7,7,6,0.8571428571428571,0
Ing. Electromecánica,0,30,7,7,6,0.8571428571428571,0
Ing. Electromecánica,58,30,6,8,3,0.375,0
Ing. Electromecánica,58,30,6,8,3,0.375,0
Ing. Electromecánica,56,53,8,8,5,0.625,1
Ing. Electromecánica,56,53,8,8,5,0.625,1
Ing. Electromecánica,19,30,4,4,1,0.25,0
Ing. Electromecánica,19,30,4,4,1,0.25,0
Ing. Electromecánica,11,36,7,6,1,0.16666666666666666,0
Ing. Electromecánica,11,36,7,6,1,0.16666666666666666,0
Ing. Civil,0,20,5,7,2,0.2857142857142857,0
Ing. Civil,0,20,5,7,2,0.2857142857142857,0
Ing. Civil,90,52,8,7,5,0.7142857142857143,1
Ing. Civil,90,52,8,7,5,0.7142857142857143,1
Ing. Electromecánica,0,60,6,6,5,0.8333333333333334,0
Ing. Electromecánica,0,60,6,6,5,0.8333333333333334,0
Ing. Electromecánica,25,51,8,2,1,0.5,0
Ing. Electromecánica,25,51,8,2,1,0.5,0
Ing. Civil,75,34,9,8,4,0.5,1
Ing. Civil,75,34,9,8,4,0.5,1
Ing. Civil,47,50,6,6,2,0.3333333333333333,0
Ing. Civil,47,50,6,6,2,0.3333333333333333,0
Ing. Geográfica,35,50,6,5,4,0.8,0
Ing. Geográfica,35,50,6,5,4,0.8,0
Ing. Civil,0,43,5,5,2,0.4,0
Ing. Civil,0,43,5,5,2,0.4,0
Ing. Civil,8,33,5,8,0,0.0,0
Ing. Civil,8,33,5,8,0,0.0,0
Ing. Civil,0,50,4,4,1,0.25,0
Ing. Civil,0,50,4,4,1,0.25,0
Ing. Civil,8,41,6,6,3,0.5,0
Ing. Civil,8,41,6,6,3,0.5,0
Ing. Civil,0,30,5,7,1,0.14285714285714285,0
Ing. Civil,0,30,5,7,1,0.14285714285714285,0
Ing. Electromecánica,42,56,6,6,3,0.5,0
Ing. Electromecánica,42,56,6,6,3,0.5,0
Ing. Civil,6,30,7,7,3,0.42857142857142855,0
Ing. Civil,6,30,7,7,3,0.42857142857142855,0
Ing. Civil,8,30,5,8,4,0.5,0
Ing. Civil,8,30,5,8,4,0.5,0
Ing. Civil,33,44,5,7,2,0.2857142857142857,0
Ing. Civil,33,44,5,7,2,0.2857142857142857,0
Ing. Geográfica,33,45,6,6,5,0.8333333333333334,0
Ing. Geográfica,33,45,6,6,5,0.8333333333333334,0
Ing. Electromecánica,0,60,5,6,1,0.16666666666666666,0
Ing. Electromecánica,0,60,5,6,1,0.16666666666666666,0
Ing. Civil,76,50,6,7,4,0.5714285714285714,1
Ing. Civil,76,50,6,7,4,0.5714285714285714,1
Ing. Civil,0,30,5,6,0,0.0,0
Ing. Civil,0,30,5,6,0,0.0,0
Ing. Civil,31,50,6,4,2,0.5,0
Ing. Civil,31,50,6,4,2,0.5,0
Ing. Geográfica,50,40,6,7,4,0.5714285714285714,0
Ing. Geográfica,50,40,6,7,4,0.5714285714285714,0
Ing. Mecatrónica,33,42,5,6,2,0.3333333333333333,0
Ing. Mecatrónica,33,42,5,6,2,0.3333333333333333,0
Ing. Mecánica,0,35,8,8,3,0.375,0
Ing. Mecánica,0,35,8,8,3,0.375,0
Ing. Mecánica,50,54,7,5,1,0.2,0
Ing. Mecánica,50,54,7,5,1,0.2,0
Ing. Civil,0,37,8,6,3,0.5,0
Ing. Civil,0,37,8,6,3,0.5,0
Ing. Civil,40,52,9,6,4,0.6666666666666666,0
Ing. Civil,40,52,9,6,4,0.6666666666666666,0
Ing. Civil,0,35,4,6,1,0.16666666666666666,0
Ing. Civil,0,35,4,6,1,0.16666666666666666,0
Ing. Civil,0,66,7,5,3,0.6,0
Ing. Civil,0,66,7,5,3,0.6,0
Ing. Electromecánica,42,51,7,4,3,0.75,0
Ing. Electromecánica,42,51,7,4,3,0.75,0
Ing. Civil,50,60,6,5,4,0.8,1
Ing. Civil,50,60,6,5,4,0.8,1
Ing. Mecatrónica,0,33,6,4,2,0.5,0
Ing. Mecatrónica,0,33,6,4,2,0.5,0
Ing. Electromecánica,0,57,7,6,3,0.5,0
Ing. Electromecánica,0,57,7,6,3,0.5,0
Ing. Industrial,0,52,7,7,2,0.2857142857142857,0
Ing. Industrial,0,52,7,7,2,0.2857142857142857,0
Ing. Electromecánica,0,33,7,7,5,0.7142857142857143,0
Ing. Electromecánica,0,33,7,7,5,0.7142857142857143,0
Ing. Civil,31,34,5,6,3,0.5,0
Ing. Civil,31,34,5,6,3,0.5,0
Ing. Electromecánica,25,37,7,5,1,0.2,0
Ing. Electromecánica,25,37,7,5,1,0.2,0
Ing. Civil,67,31,7,8,7,0.875,1
Ing. Civil,67,31,7,8,7,0.875,1
Ing. Electrónica,60,59,6,5,4,0.8,0
Ing. Electrónica,60,59,6,5,4,0.8,0
Ing. Mecatrónica,8,53,8,4,2,0.5,0
Ing. Mecatrónica,8,53,8,4,2,0.5,0
Ing. Civil,69,30,8,7,4,0.5714285714285714,1
Ing. Civil,69,30,8,7,4,0.5714285714285714,1
Ing. Electromecánica,67,53,8,5,1,0.2,0
Ing. Electromecánica,67,53,8,5,1,0.2,0
Ing. Electromecánica,0,36,4,6,2,0.3333333333333333,0
Ing. Electromecánica,0,36,4,6,2,0.3333333333333333,0
Ing. Civil,8,31,7,5,3,0.6,0
Ing. Civil,8,31,7,5,3,0.6,0
Ing. Electromecánica,42,30,7,7,5,0.7142857142857143,0
Ing. Electromecánica,42,30,7,7,5,0.7142857142857143,0
Ing. Electromecánica,8,34,6,7,5,0.7142857142857143,0
Ing. Electromecánica,8,34,6,7,5,0.7142857142857143,0
Ing. Electromecánica,31,43,5,3,1,0.3333333333333333,0
Ing. Electromecánica,31,43,5,3,1,0.3333333333333333,0
Ing. Civil,61,43,8,8,6,0.75,1
Ing. Civil,61,43,8,8,6,0.75,1
Ing. Mecatrónica,19,46,6,6,4,0.6666666666666666,0
Ing. Mecatrónica,19,46,6,6,4,0.6666666666666666,0
Ing. Civil,8,30,6,7,4,0.5714285714285714,0
Ing. Civil,8,30,6,7,4,0.5714285714285714,0
Ing. Electromecánica,8,30,7,5,2,0.4,0
Ing. Electromecánica,8,30,7,5,2,0.4,0
Ing. Electromecánica,0,45,5,6,3,0.5,0
Ing. Electromecánica,0,45,5,6,3,0.5,0
Ing. Mecatrónica,0,42,5,4,3,0.75,0
Ing. Mecatrónica,0,42,5,4,3,0.75,0
Ing. Industrial,47,42,5,4,2,0.5,0
Ing. Industrial,47,42,5,4,2,0.5,0
Ing. Electromecánica,33,55,8,5,1,0.2,0
Ing. Electromecánica,33,55,8,5,1,0.2,0
Ing. Civil,19,36,6,6,3,0.5,0
Ing. Civil,19,36,6,6,3,0.5,0
Ing. Civil,0,63,5,6,4,0.6666666666666666,0
Ing. Civil,0,63,5,6,4,0.6666666666666666,0
Ing. Geográfica,0,52,7,5,4,0.8,0
Ing. Geográfica,0,52,7,5,4,0.8,0
Ing. Electrónica,44,55,6,3,1,0.3333333333333333,0
Ing. Electrónica,44,55,6,3,1,0.3333333333333333,0
Ing. Civil,39,23,7,7,1,0.14285714285714285,0
Ing. Civil,39,23,7,7,1,0.14285714285714285,0
Ing. Civil,100,44,5,6,4,0.6666666666666666,1
Ing. Civil,100,44,5,6,4,0.6666666666666666,1
Ing. Civil,33,38,3,5,1,0.2,0
Ing. Civil,33,38,3,5,1,0.2,0
Ing. Mecatrónica,0,50,6,6,5,0.8333333333333334,0
Ing. Mecatrónica,0,50,6,6,5,0.8333333333333334,0
Ing. Civil,0,51,4,6,2,0.3333333333333333,0
Ing. Civil,0,51,4,6,2,0.3333333333333333,0
Ing. Industrial,38,27,6,7,2,0.2857142857142857,0
Ing. Industrial,38,27,6,7,2,0.2857142857142857,0
Ing. Geográfica,89,53,6,8,7,0.875,1
Ing. Geográfica,89,53,6,8,7,0.875,1
Ing. Electromecánica,42,62,8,6,1,0.16666666666666666,0
Ing. Electromecánica,42,62,8,6,1,0.16666666666666666,0
Ing. Electromecánica,42,54,8,6,4,0.6666666666666666,0
Ing. Electromecánica,42,54,8,6,4,0.6666666666666666,0
Ing. Civil,89,30,7,7,4,0.5714285714285714,1
Ing. Civil,89,30,7,7,4,0.5714285714285714,1
Ing. Civil,67,60,3,7,4,0.5714285714285714,0
Ing. Civil,67,60,3,7,4,0.5714285714285714,0
Ing. Mecánica,0,50,5,3,0,0.0,0
Ing. Mecánica,0,50,5,3,0,0.0,0
Ing. Electromecánica,42,60,8,8,6,0.75,0
Ing. Electromecánica,42,60,8,8,6,0.75,0
Ing. Civil,33,52,7,7,4,0.5714285714285714,0
Ing. Civil,33,52,7,7,4,0.5714285714285714,0
Ing. Electromecánica,50,60,8,5,2,0.4,1
Ing. Electromecánica,50,60,8,5,2,0.4,1
Ing. Civil,19,35,3,6,2,0.3333333333333333,0
Ing. Civil,19,35,3,6,2,0.3333333333333333,0
Ing. Industrial,0,34,6,4,2,0.5,0
Ing. Industrial,0,34,6,4,2,0.5,0
Ing. Mecánica,33,35,8,5,4,0.8,0
Ing. Mecánica,33,35,8,5,4,0.8,0
Ing. Electromecánica,67,63,7,6,4,0.6666666666666666,1
Ing. Electromecánica,67,63,7,6,4,0.6666666666666666,1
Ing. Civil,72,37,5,4,2,0.5,0
Ing. Civil,72,37,5,4,2,0.5,0
Ing. Civil,0,56,4,4,3,0.75,0
Ing. Civil,0,56,4,4,3,0.75,0
Ing. Civil,67,32,5,5,2,0.4,1
Ing. Civil,67,32,5,5,2,0.4,1
Ing. Civil,8,56,6,3,1,0.3333333333333333,0
Ing. Civil,8,56,6,3,1,0.3333333333333333,0
Ing. Electromecánica,89,34,4,5,2,0.4,1
Ing. Electromecánica,89,34,4,5,2,0.4,1
Ing. Civil,0,37,5,7,2,0.2857142857142857,0
Ing. Civil,0,37,5,7,2,0.2857142857142857,0
Ing. Civil,56,45,5,5,3,0.6,0
Ing. Civil,56,45,5,5,3,0.6,0
Ing. Civil,0,30,4,6,0,0.0,0
Ing. Civil,0,30,4,6,0,0.0,0
Ing. Electrónica,19,51,8,4,2,0.5,0
Ing. Electrónica,19,51,8,4,2,0.5,0
