ALUMNO_ID,carrera,primer_parcial,firma_actual,exonera,firma_previa,materias_aprobadas_anterior,cantidad_materias_anterior,tasa_aprobacion_anterior,cantidad_materias_actual
FIUNA_ALUMNO_009905,Ing. Electromecánica,0,19,0,56,3,5,0.6,7
FIUNA_ALUMNO_010578,Ing. Electromecánica,0,19,0,56,3,5,0.6,7
FIUNA_ALUMNO_006184,Ing. Civil,0,20,0,52,0,6,0.0,4
FIUNA_ALUMNO_007666,Ing. Civil,0,20,0,52,0,6,0.0,4
FIUNA_ALUMNO_010886,Ing. Electrónica,0,20,0,35,1,3,0.3333333333333333,6
FIUNA_ALUMNO_011266,Ing. Electrónica,0,20,0,35,1,3,0.3333333333333333,6
FIUNA_ALUMNO_010888,Ing. Mecánica,67,55,0,41,2,5,0.4,4
FIUNA_ALUMNO_011712,Ing. Mecánica,67,55,0,41,2,5,0.4,4
FIUNA_ALUMNO_006557,Ing. Electromecánica,33,35,0,38,3,5,0.6,5
FIUNA_ALUMNO_007397,Ing. Electromecánica,33,35,0,38,3,5,0.6,5
FIUNA_ALUMNO_009943,Ing. Civil,67,52,0,51,4,6,0.6666666666666666,8
FIUNA_ALUMNO_010780,Ing. Civil,67,52,0,51,4,6,0.6666666666666666,8
FIUNA_ALUMNO_010903,Ing. Civil,0,17,0,30,0,6,0.0,6
FIUNA_ALUMNO_011282,Ing. Civil,0,17,0,30,0,6,0.0,6
FIUNA_ALUMNO_007090,Ing. Civil,0,20,0,36,0,7,0.0,2
FIUNA_ALUMNO_009411,Ing. Civil,0,20,0,36,0,7,0.0,2
FIUNA_ALUMNO_012011,Ing. Electromecánica,0,20,0,50,2,4,0.5,5
FIUNA_ALUMNO_012136,Ing. Electromecánica,0,20,0,50,2,4,0.5,5
FIUNA_ALUMNO_009073,Ing. Electromecánica,0,20,0,34,3,8,0.375,6
FIUNA_ALUMNO_009955,Ing. Electromecánica,0,20,0,34,3,8,0.375,6
FIUNA_ALUMNO_006226,Ing. Geográfica,0,20,0,35,3,5,0.6,7
FIUNA_ALUMNO_007696,Ing. Geográfica,0,20,0,35,3,5,0.6,7
FIUNA_ALUMNO_009958,Ing. Mecatrónica,28,31,0,50,2,6,0.3333333333333333,7
FIUNA_ALUMNO_010608,Ing. Mecatrónica,28,31,0,50,2,6,0.3333333333333333,7
FIUNA_ALUMNO_009959,Ing. Civil,93,79,1,44,6,7,0.8571428571428571,6
FIUNA_ALUMNO_010609,Ing. Civil,93,79,1,44,6,7,0.8571428571428571,6
FIUNA_ALUMNO_009719,Ing. Industrial,33,42,0,40,3,6,0.5,6
FIUNA_ALUMNO_009961,Ing. Industrial,33,42,0,40,3,6,0.5,6
FIUNA_ALUMNO_009080,Ing. Industrial,47,66,0,35,2,3,0.6666666666666666,6
FIUNA_ALUMNO_009962,Ing. Industrial,47,66,0,35,2,3,0.6666666666666666,6
FIUNA_ALUMNO_012147,Ing. Mecatrónica,44,57,0,46,4,6,0.6666666666666666,7
FIUNA_ALUMNO_012329,Ing. Mecatrónica,44,57,0,46,4,6,0.6666666666666666,7
FIUNA_ALUMNO_007111,Ing. Electromecánica,42,35,0,36,1,5,0.2,5
FIUNA_ALUMNO_009090,Ing. Electromecánica,42,35,0,36,1,5,0.2,5
FIUNA_ALUMNO_011077,Ing. Electromecánica,0,20,0,30,6,7,0.8571428571428571,7
FIUNA_ALUMNO_011583,Ing. Electromecánica,0,20,0,30,6,7,0.8571428571428571,7
FIUNA_ALUMNO_009100,Ing. Electromecánica,58,39,0,30,3,8,0.375,6
FIUNA_ALUMNO_010450,Ing. Electromecánica,58,39,0,30,3,8,0.375,6
FIUNA_ALUMNO_009103,Ing. Electromecánica,56,76,1,53,5,8,0.625,8
FIUNA_ALUMNO_010217,Ing. Electromecánica,56,76,1,53,5,8,0.625,8
FIUNA_ALUMNO_012314,Ing. Electromecánica,19,28,0,30,1,4,0.25,4
FIUNA_ALUMNO_012496,Ing. Electromecánica,19,28,0,30,1,4,0.25,4
FIUNA_ALUMNO_006590,Ing. Electromecánica,11,11,0,36,1,6,0.16666666666666666,7
FIUNA_ALUMNO_008457,Ing. Electromecánica,11,11,0,36,1,6,0.16666666666666666,7
FIUNA_ALUMNO_009106,Ing. Civil,0,20,0,20,2,7,0.2857142857142857,5
FIUNA_ALUMNO_009974,Ing. Civil,0,20,0,20,2,7,0.2857142857142857,5
FIUNA_ALUMNO_007143,Ing. Civil,90,88,1,52,5,7,0.7142857142857143,8
FIUNA_ALUMNO_009575,Ing. Civil,90,88,1,52,5,7,0.7142857142857143,8
FIUNA_ALUMNO_011210,Ing. Electromecánica,0,20,0,60,5,6,0.8333333333333334,6
FIUNA_ALUMNO_011728,Ing. Electromecánica,0,20,0,60,5,6,0.8333333333333334,6
FIUNA_ALUMNO_010926,Ing. Electromecánica,25,26,0,51,1,2,0.5,8
FIUNA_ALUMNO_011301,Ing. Electromecánica,25,26,0,51,1,2,0.5,8
FIUNA_ALUMNO_011082,Ing. Civil,75,72,1,34,4,8,0.5,9
FIUNA_ALUMNO_011302,Ing. Civil,75,72,1,34,4,8,0.5,9
FIUNA_ALUMNO_009129,Ing. Civil,47,39,0,50,2,6,0.3333333333333333,6
FIUNA_ALUMNO_010372,Ing. Civil,47,39,0,50,2,6,0.3333333333333333,6
FIUNA_ALUMNO_009140,Ing. Geográfica,35,34,0,50,4,5,0.8,6
FIUNA_ALUMNO_010225,Ing. Geográfica,35,34,0,50,4,5,0.8,6
FIUNA_ALUMNO_010632,Ing. Civil,0,20,0,43,2,5,0.4,5
FIUNA_ALUMNO_011821,Ing. Civil,0,20,0,43,2,5,0.4,5
FIUNA_ALUMNO_010633,Ing. Civil,8,22,0,33,0,8,0.0,5
FIUNA_ALUMNO_011737,Ing. Civil,8,22,0,33,0,8,0.0,5
FIUNA_ALUMNO_011090,Ing. Civil,0,20,0,50,1,4,0.25,4
FIUNA_ALUMNO_011592,Ing. Civil,0,20,0,50,1,4,0.25,4
FIUNA_ALUMNO_011091,Ing. Civil,8,23,0,41,3,6,0.5,6
FIUNA_ALUMNO_011312,Ing. Civil,8,23,0,41,3,6,0.5,6
FIUNA_ALUMNO_009733,Ing. Civil,0,20,0,30,1,7,0.14285714285714285,5
FIUNA_ALUMNO_010228,Ing. Civil,0,20,0,30,1,7,0.14285714285714285,5
FIUNA_ALUMNO_010944,Ing. Electromecánica,42,37,0,56,3,6,0.5,6
FIUNA_ALUMNO_011593,Ing. Electromecánica,42,37,0,56,3,6,0.5,6
FIUNA_ALUMNO_009735,Ing. Civil,6,24,0,30,3,7,0.42857142857142855,7
FIUNA_ALUMNO_010004,Ing. Civil,6,24,0,30,3,7,0.42857142857142855,7
FIUNA_ALUMNO_010643,Ing. Civil,8,22,0,30,4,8,0.5,5
FIUNA_ALUMNO_011823,Ing. Civil,8,22,0,30,4,8,0.5,5
FIUNA_ALUMNO_011331,Ing. Civil,33,33,0,44,2,7,0.2857142857142857,5
FIUNA_ALUMNO_012017,Ing. Civil,33,33,0,44,2,7,0.2857142857142857,5
FIUNA_ALUMNO_007190,Ing. Geográfica,33,60,0,45,5,6,0.8333333333333334,6
FIUNA_ALUMNO_009167,Ing. Geográfica,33,60,0,45,5,6,0.8333333333333334,6
FIUNA_ALUMNO_011333,Ing. Electromecánica,0,20,0,60,1,6,0.16666666666666666,5
FIUNA_ALUMNO_011937,Ing. Electromecánica,0,20,0,60,1,6,0.16666666666666666,5
FIUNA_ALUMNO_007197,Ing. Civil,76,72,1,50,4,7,0.5714285714285714,6
FIUNA_ALUMNO_009489,Ing. Civil,76,72,1,50,4,7,0.5714285714285714,6
FIUNA_ALUMNO_011243,Ing. Civil,0,20,0,30,0,6,0.0,5
FIUNA_ALUMNO_011826,Ing. Civil,0,20,0,30,0,6,0.0,5
FIUNA_ALUMNO_011338,Ing. Civil,31,32,0,50,2,4,0.5,6
FIUNA_ALUMNO_011941,Ing. Civil,31,32,0,50,2,4,0.5,6
FIUNA_ALUMNO_011103,Ing. Geográfica,50,53,0,40,4,7,0.5714285714285714,6
FIUNA_ALUMNO_011340,Ing. Geográfica,50,53,0,40,4,7,0.5714285714285714,6
FIUNA_ALUMNO_007208,Ing. Mecatrónica,33,33,0,42,2,6,0.3333333333333333,5
FIUNA_ALUMNO_009178,Ing. Mecatrónica,33,33,0,42,2,6,0.3333333333333333,5
FIUNA_ALUMNO_009181,Ing. Mecánica,0,20,0,35,3,8,0.375,8
FIUNA_ALUMNO_010236,Ing. Mecánica,0,20,0,35,3,8,0.375,8
FIUNA_ALUMNO_010667,Ing. Mecánica,50,59,0,54,1,5,0.2,7
FIUNA_ALUMNO_011829,Ing. Mecánica,50,59,0,54,1,5,0.2,7
FIUNA_ALUMNO_010041,Ing. Civil,0,19,0,37,3,6,0.5,8
FIUNA_ALUMNO_010668,Ing. Civil,0,19,0,37,3,6,0.5,8
FIUNA_ALUMNO_012174,Ing. Civil,40,36,0,52,4,6,0.6666666666666666,9
FIUNA_ALUMNO_012343,Ing. Civil,40,36,0,52,4,6,0.6666666666666666,9
FIUNA_ALUMNO_011365,Ing. Civil,0,20,0,35,1,6,0.16666666666666666,4
FIUNA_ALUMNO_012021,Ing. Civil,0,20,0,35,1,6,0.16666666666666666,4
FIUNA_ALUMNO_010673,Ing. Civil,0,20,0,66,3,5,0.6,7
FIUNA_ALUMNO_011751,Ing. Civil,0,20,0,66,3,5,0.6,7
FIUNA_ALUMNO_011115,Ing. Electromecánica,42,37,0,51,3,4,0.75,7
FIUNA_ALUMNO_011646,Ing. Electromecánica,42,37,0,51,3,4,0.75,7
FIUNA_ALUMNO_011372,Ing. Civil,50,71,1,60,4,5,0.8,6
FIUNA_ALUMNO_011950,Ing. Civil,50,71,1,60,4,5,0.8,6
FIUNA_ALUMNO_011374,Ing. Mecatrónica,0,19,0,33,2,4,0.5,6
FIUNA_ALUMNO_011951,Ing. Mecatrónica,0,19,0,33,2,4,0.5,6
FIUNA_ALUMNO_012185,Ing. Electromecánica,0,20,0,57,3,6,0.5,7
FIUNA_ALUMNO_012349,Ing. Electromecánica,0,20,0,57,3,6,0.5,7
FIUNA_ALUMNO_011390,Ing. Industrial,0,20,0,52,2,7,0.2857142857142857,7
FIUNA_ALUMNO_011954,Ing. Industrial,0,20,0,52,2,7,0.2857142857142857,7
FIUNA_ALUMNO_011127,Ing. Electromecánica,0,20,0,33,5,7,0.7142857142857143,7
FIUNA_ALUMNO_011399,Ing. Electromecánica,0,20,0,33,5,7,0.7142857142857143,7
FIUNA_ALUMNO_011128,Ing. Civil,31,32,0,34,3,6,0.5,5
FIUNA_ALUMNO_011401,Ing. Civil,31,32,0,34,3,6,0.5,5
FIUNA_ALUMNO_009245,Ing. Electromecánica,25,27,0,37,1,5,0.2,7
FIUNA_ALUMNO_010071,Ing. Electromecánica,25,27,0,37,1,5,0.2,7
FIUNA_ALUMNO_011404,Ing. Civil,67,72,1,31,7,8,0.875,7
FIUNA_ALUMNO_011958,Ing. Civil,67,72,1,31,7,8,0.875,7
FIUNA_ALUMNO_012198,Ing. Electrónica,60,35,0,59,4,5,0.8,6
FIUNA_ALUMNO_012357,Ing. Electrónica,60,35,0,59,4,5,0.8,6
FIUNA_ALUMNO_011416,Ing. Mecatrónica,8,23,0,53,2,4,0.5,8
FIUNA_ALUMNO_012030,Ing. Mecatrónica,8,23,0,53,2,4,0.5,8
FIUNA_ALUMNO_005826,Ing. Civil,69,88,1,30,4,7,0.5714285714285714,8
FIUNA_ALUMNO_008103,Ing. Civil,69,88,1,30,4,7,0.5714285714285714,8
FIUNA_ALUMNO_009266,Ing. Electromecánica,67,52,0,53,1,5,0.2,8
FIUNA_ALUMNO_010529,Ing. Electromecánica,67,52,0,53,1,5,0.2,8
FIUNA_ALUMNO_012208,Ing. Electromecánica,0,20,0,36,2,6,0.3333333333333333,4
FIUNA_ALUMNO_012365,Ing. Electromecánica,0,20,0,36,2,6,0.3333333333333333,4
FIUNA_ALUMNO_007277,Ing. Civil,8,20,0,31,3,5,0.6,7
FIUNA_ALUMNO_009455,Ing. Civil,8,20,0,31,3,5,0.6,7
FIUNA_ALUMNO_009767,Ing. Electromecánica,42,37,0,30,5,7,0.7142857142857143,7
FIUNA_ALUMNO_010091,Ing. Electromecánica,42,37,0,30,5,7,0.7142857142857143,7
FIUNA_ALUMNO_011144,Ing. Electromecánica,8,20,0,34,5,7,0.7142857142857143,6
FIUNA_ALUMNO_011428,Ing. Electromecánica,8,20,0,34,5,7,0.7142857142857143,6
FIUNA_ALUMNO_011145,Ing. Electromecánica,31,29,0,43,1,3,0.3333333333333333,5
FIUNA_ALUMNO_011429,Ing. Electromecánica,31,29,0,43,1,3,0.3333333333333333,5
FIUNA_ALUMNO_009285,Ing. Civil,61,71,1,43,6,8,0.75,8
FIUNA_ALUMNO_010093,Ing. Civil,61,71,1,43,6,8,0.75,8
FIUNA_ALUMNO_012215,Ing. Mecatrónica,19,28,0,46,4,6,0.6666666666666666,6
FIUNA_ALUMNO_012368,Ing. Mecatrónica,19,28,0,46,4,6,0.6666666666666666,6
FIUNA_ALUMNO_009286,Ing. Civil,8,22,0,30,4,7,0.5714285714285714,6
FIUNA_ALUMNO_010433,Ing. Civil,8,22,0,30,4,7,0.5714285714285714,6
FIUNA_ALUMNO_009769,Ing. Electromecánica,8,22,0,30,2,5,0.4,7
FIUNA_ALUMNO_010312,Ing. Electromecánica,8,22,0,30,2,5,0.4,7
FIUNA_ALUMNO_011439,Ing. Electromecánica,0,19,0,45,3,6,0.5,5
FIUNA_ALUMNO_011971,Ing. Electromecánica,0,19,0,45,3,6,0.5,5
FIUNA_ALUMNO_010989,Ing. Mecatrónica,0,20,0,42,3,4,0.75,5
FIUNA_ALUMNO_011685,Ing. Mecatrónica,0,20,0,42,3,4,0.75,5
FIUNA_ALUMNO_011779,Ing. Industrial,47,38,0,42,2,4,0.5,5
FIUNA_ALUMNO_012034,Ing. Industrial,47,38,0,42,2,4,0.5,5
FIUNA_ALUMNO_012232,Ing. Electromecánica,33,41,0,55,1,5,0.2,8
FIUNA_ALUMNO_012377,Ing. Electromecánica,33,41,0,55,1,5,0.2,8
FIUNA_ALUMNO_012234,Ing. Civil,19,28,0,36,3,6,0.5,6
FIUNA_ALUMNO_012379,Ing. Civil,19,28,0,36,3,6,0.5,6
FIUNA_ALUMNO_012235,Ing. Civil,0,19,0,63,4,6,0.6666666666666666,5
FIUNA_ALUMNO_012380,Ing. Civil,0,19,0,63,4,6,0.6666666666666666,5
FIUNA_ALUMNO_010114,Ing. Geográfica,0,20,0,52,4,5,0.8,7
FIUNA_ALUMNO_010719,Ing. Geográfica,0,20,0,52,4,5,0.8,7
FIUNA_ALUMNO_012239,Ing. Electrónica,44,38,0,55,1,3,0.3333333333333333,6
FIUNA_ALUMNO_012381,Ing. Electrónica,44,38,0,55,1,3,0.3333333333333333,6
FIUNA_ALUMNO_011002,Ing. Civil,39,58,0,23,1,7,0.14285714285714285,7
FIUNA_ALUMNO_011702,Ing. Civil,39,58,0,23,1,7,0.14285714285714285,7
FIUNA_ALUMNO_012259,Ing. Civil,100,95,1,44,4,6,0.6666666666666666,5
FIUNA_ALUMNO_012391,Ing. Civil,100,95,1,44,4,6,0.6666666666666666,5
FIUNA_ALUMNO_011007,Ing. Civil,33,33,0,38,1,5,0.2,3
FIUNA_ALUMNO_011789,Ing. Civil,33,33,0,38,1,5,0.2,3
FIUNA_ALUMNO_010734,Ing. Mecatrónica,0,20,0,50,5,6,0.8333333333333334,6
FIUNA_ALUMNO_011861,Ing. Mecatrónica,0,20,0,50,5,6,0.8333333333333334,6
FIUNA_ALUMNO_012269,Ing. Civil,0,17,0,51,2,6,0.3333333333333333,4
FIUNA_ALUMNO_012393,Ing. Civil,0,17,0,51,2,6,0.3333333333333333,4
FIUNA_ALUMNO_011498,Ing. Industrial,38,37,0,27,2,7,0.2857142857142857,6
FIUNA_ALUMNO_012045,Ing. Industrial,38,37,0,27,2,7,0.2857142857142857,6
FIUNA_ALUMNO_010738,Ing. Geográfica,89,75,1,53,7,8,0.875,6
FIUNA_ALUMNO_011620,Ing. Geográfica,89,75,1,53,7,8,0.875,6
FIUNA_ALUMNO_011504,Ing. Electromecánica,42,37,0,62,1,6,0.16666666666666666,8
FIUNA_ALUMNO_012071,Ing. Electromecánica,42,37,0,62,1,6,0.16666666666666666,8
FIUNA_ALUMNO_006708,Ing. Electromecánica,42,62,0,54,4,6,0.6666666666666666,8
FIUNA_ALUMNO_007326,Ing. Electromecánica,42,62,0,54,4,6,0.6666666666666666,8
FIUNA_ALUMNO_011182,Ing. Civil,89,87,1,30,4,7,0.5714285714285714,7
FIUNA_ALUMNO_011623,Ing. Civil,89,87,1,30,4,7,0.5714285714285714,7
FIUNA_ALUMNO_012276,Ing. Civil,67,62,0,60,4,7,0.5714285714285714,3
FIUNA_ALUMNO_012397,Ing. Civil,67,62,0,60,4,7,0.5714285714285714,3
FIUNA_ALUMNO_006712,Ing. Mecánica,0,20,0,50,0,3,0.0,5
FIUNA_ALUMNO_007333,Ing. Mecánica,0,20,0,50,0,3,0.0,5
FIUNA_ALUMNO_009781,Ing. Electromecánica,42,70,0,60,6,8,0.75,8
FIUNA_ALUMNO_010266,Ing. Electromecánica,42,70,0,60,6,8,0.75,8
FIUNA_ALUMNO_011188,Ing. Civil,33,47,0,52,4,7,0.5714285714285714,7
FIUNA_ALUMNO_011525,Ing. Civil,33,47,0,52,4,7,0.5714285714285714,7
FIUNA_ALUMNO_012283,Ing. Electromecánica,50,71,1,60,2,5,0.4,8
FIUNA_ALUMNO_012403,Ing. Electromecánica,50,71,1,60,2,5,0.4,8
FIUNA_ALUMNO_010150,Ing. Civil,19,66,0,35,2,6,0.3333333333333333,3
FIUNA_ALUMNO_010861,Ing. Civil,19,66,0,35,2,6,0.3333333333333333,3
FIUNA_ALUMNO_011532,Ing. Industrial,0,20,0,34,2,4,0.5,6
FIUNA_ALUMNO_012052,Ing. Industrial,0,20,0,34,2,4,0.5,6
FIUNA_ALUMNO_011194,Ing. Mecánica,33,52,0,35,4,5,0.8,8
FIUNA_ALUMNO_011690,Ing. Mecánica,33,52,0,35,4,5,0.8,8
FIUNA_ALUMNO_009369,Ing. Electromecánica,67,74,1,63,4,6,0.6666666666666666,7
FIUNA_ALUMNO_010160,Ing. Electromecánica,67,74,1,63,4,6,0.6666666666666666,7
FIUNA_ALUMNO_011026,Ing. Civil,72,61,0,37,2,4,0.5,5
FIUNA_ALUMNO_011661,Ing. Civil,72,61,0,37,2,4,0.5,5
FIUNA_ALUMNO_011554,Ing. Civil,0,20,0,56,3,4,0.75,4
FIUNA_ALUMNO_012054,Ing. Civil,0,20,0,56,3,4,0.75,4
FIUNA_ALUMNO_011555,Ing. Civil,67,74,1,32,2,5,0.4,5
FIUNA_ALUMNO_012002,Ing. Civil,67,74,1,32,2,5,0.4,5
FIUNA_ALUMNO_011031,Ing. Civil,8,23,0,56,1,3,0.3333333333333333,6
FIUNA_ALUMNO_011631,Ing. Civil,8,23,0,56,1,3,0.3333333333333333,6
FIUNA_ALUMNO_011557,Ing. Electromecánica,89,71,1,34,2,5,0.4,4
FIUNA_ALUMNO_012004,Ing. Electromecánica,89,71,1,34,2,5,0.4,4
FIUNA_ALUMNO_012302,Ing. Civil,0,20,0,37,2,7,0.2857142857142857,5
FIUNA_ALUMNO_012413,Ing. Civil,0,20,0,37,2,7,0.2857142857142857,5
FIUNA_ALUMNO_010758,Ing. Civil,56,68,0,45,3,5,0.6,5
FIUNA_ALUMNO_011863,Ing. Civil,56,68,0,45,3,5,0.6,5
FIUNA_ALUMNO_010173,Ing. Civil,0,15,0,30,0,6,0.0,4
FIUNA_ALUMNO_010761,Ing. Civil,0,15,0,30,0,6,0.0,4
FIUNA_ALUMNO_011568,Ing. Electrónica,19,28,0,51,2,4,0.5,8
FIUNA_ALUMNO_012008,Ing. Electrónica,19,28,0,51,2,4,0.5,8
